Iteration,Distance,Best Distance,Worst Distance,Difference
001,181793.8135929619,167771.10976055468,251026.8717630751,83255.76200252041
002,216543.93324050293,167771.10976055468,251026.8717630751,83255.76200252041
003,205757.56583072623,167771.10976055468,251026.8717630751,83255.76200252041
004,191118.74826103376,167771.10976055468,251026.8717630751,83255.76200252041
005,202320.9223503285,157570.99931614514,251026.8717630751,93455.87244692995
006,204627.6265168834,153907.38168443707,265620.84317340533,111713.46148896826
007,193804.02032215023,153907.38168443707,265620.84317340533,111713.46148896826
008,203596.08001811555,153907.38168443707,265620.84317340533,111713.46148896826
009,171835.03111413363,153907.38168443707,265620.84317340533,111713.46148896826
010,171186.39905667442,153907.38168443707,265620.84317340533,111713.46148896826
011,191492.78989990443,147491.16502014778,265620.84317340533,118129.67815325756
012,187541.6622720256,141759.13740828802,265620.84317340533,123861.70576511731
013,157056.62663234852,138861.68316084845,265620.84317340533,126759.16001255688
014,158433.06004313394,138861.68316084845,265620.84317340533,126759.16001255688
015,159952.1702794464,126365.46208085946,265620.84317340533,139255.38109254587
016,166759.3126696918,125421.82584291934,265620.84317340533,140199.01733048598
017,159489.48246775975,125421.82584291934,265620.84317340533,140199.01733048598
018,130174.63039099127,122822.46558050351,265620.84317340533,142798.37759290182
019,142657.9098280343,122822.46558050351,265620.84317340533,142798.37759290182
020,149049.48468239378,122822.46558050351,265620.84317340533,142798.37759290182
021,146287.68942440435,122822.46558050351,265620.84317340533,142798.37759290182
022,127706.79275477327,121153.97647444087,265620.84317340533,144466.86669896444
023,149325.34483818413,121153.97647444087,265620.84317340533,144466.86669896444
024,135655.33270142874,121153.97647444087,265620.84317340533,144466.86669896444
025,137038.48546404464,121153.97647444087,265620.84317340533,144466.86669896444
026,140939.21144610984,121153.97647444087,265620.84317340533,144466.86669896444
027,158513.97420928048,121153.97647444087,265620.84317340533,144466.86669896444
028,135844.68157516656,121153.97647444087,265620.84317340533,144466.86669896444
029,141280.2069231209,121153.97647444087,265620.84317340533,144466.86669896444
030,149917.73818336512,121153.97647444087,265620.84317340533,144466.86669896444
031,154774.3228600095,121153.97647444087,265620.84317340533,144466.86669896444
032,138556.59432602779,121153.97647444087,265620.84317340533,144466.86669896444
033,134013.40852968488,120467.91704944553,265620.84317340533,145152.9261239598
034,132534.8437295676,120467.91704944553,265620.84317340533,145152.9261239598
035,154629.20571316264,120467.91704944553,265620.84317340533,145152.9261239598
036,153837.86560788518,120467.91704944553,265620.84317340533,145152.9261239598
037,152489.95806509533,120467.91704944553,265620.84317340533,145152.9261239598
038,156496.4399032773,120467.91704944553,265620.84317340533,145152.9261239598
039,132555.67288453042,120467.91704944553,265620.84317340533,145152.9261239598
040,138994.25058099616,120467.91704944553,265620.84317340533,145152.9261239598
