Iteration,Distance,Best Distance,Worst Distance,Difference
041,149827.8979843764,120467.91704944553,265620.84317340533,145152.9261239598
042,147889.57803082876,120467.91704944553,265620.84317340533,145152.9261239598
043,129878.16692703156,120467.91704944553,265620.84317340533,145152.9261239598
044,157564.82178568398,120467.91704944553,265620.84317340533,145152.9261239598
045,127392.58412589584,120207.1174372134,265620.84317340533,145413.72573619193
046,131732.7362537425,120207.1174372134,265620.84317340533,145413.72573619193
047,149244.15200466622,120073.31880782126,265620.84317340533,145547.52436558407
048,144430.27959515207,120073.31880782126,265620.84317340533,145547.52436558407
049,140370.54080880244,120073.31880782126,265620.84317340533,145547.52436558407
050,127448.02082802149,118950.88845891567,265620.84317340533,146669.95471448966
051,152109.40919795987,118950.88845891567,265620.84317340533,146669.95471448966
052,143943.68958841744,118950.88845891567,265620.84317340533,146669.95471448966
053,133600.56489547013,118950.88845891567,265620.84317340533,146669.95471448966
054,127491.02248260812,118950.88845891567,265620.84317340533,146669.95471448966
055,137597.52195768838,118950.88845891567,265620.84317340533,146669.95471448966
056,131904.49087565704,118950.88845891567,265620.84317340533,146669.95471448966
057,145454.23005944543,118950.88845891567,265620.84317340533,146669.95471448966
058,141126.39807076944,118950.88845891567,265620.84317340533,146669.95471448966
059,133388.7728179594,118950.88845891567,265620.84317340533,146669.95471448966
060,149483.27032066302,118950.88845891567,265620.84317340533,146669.95471448966
061,133157.3847291576,118950.88845891567,265620.84317340533,146669.95471448966
062,152059.58769544764,118950.88845891567,265620.84317340533,146669.95471448966
063,150250.35805612302,118950.88845891567,265620.84317340533,146669.95471448966
064,159532.9410336307,118950.88845891567,265620.84317340533,146669.95471448966
065,154443.80447223416,118950.88845891567,265620.84317340533,146669.95471448966
066,141674.10426672405,118950.88845891567,265620.84317340533,146669.95471448966
067,152839.62361202235,118950.88845891567,265620.84317340533,146669.95471448966
068,137392.64658568785,118950.88845891567,265620.84317340533,146669.95471448966
069,127604.39578417703,118950.88845891567,265620.84317340533,146669.95471448966
070,131312.32761030475,118950.88845891567,265620.84317340533,146669.95471448966
071,125493.92713644201,118710.74401526248,265620.84317340533,146910.09915814287
072,141725.31691849476,118710.74401526248,265620.84317340533,146910.09915814287
073,131672.90856250183,118710.74401526248,265620.84317340533,146910.09915814287
074,139675.44373633843,118710.74401526248,265620.84317340533,146910.09915814287
075,137292.30893098688,118710.74401526248,265620.84317340533,146910.09915814287
076,164638.7316734645,118710.74401526248,265620.84317340533,146910.09915814287
077,152806.42579148748,118710.74401526248,265620.84317340533,146910.09915814287
078,155167.0078364937,118710.74401526248,265620.84317340533,146910.09915814287
079,128834.88171831417,118710.74401526248,265620.84317340533,146910.09915814287
080,151495.5785886462,118710.74401526248,265620.84317340533,146910.09915814287
081,164357.34421834105,118710.74401526248,265620.84317340533,146910.09915814287
082,147649.77621541696,118710.74401526248,265620.84317340533,146910.09915814287
083,133427.60612573967,118710.74401526248,265620.84317340533,146910.09915814287
084,143992.7938790963,118710.74401526248,265620.84317340533,146910.09915814287
085,154462.19937415226,118710.74401526248,265620.84317340533,146910.09915814287
086,139011.942028412,118710.74401526248,265620.84317340533,146910.09915814287
087,143992.99299100175,118710.74401526248,265620.84317340533,146910.09915814287
088,148014.652289986,118710.74401526248,265620.84317340533,146910.09915814287
089,162281.90002944812,118710.74401526248,265620.84317340533,146910.09915814287
090,171887.79420329028,118710.74401526248,265620.84317340533,146910.09915814287
091,148747.98101644032,118710.74401526248,265620.84317340533,146910.09915814287
092,145837.0380779102,118710.74401526248,265620.84317340533,146910.09915814287
093,145638.6178683102,118710.74401526248,265620.84317340533,146910.09915814287
094,137574.63470397796,118710.74401526248,265620.84317340533,146910.09915814287
095,137979.40335239103,118710.74401526248,265620.84317340533,146910.09915814287
096,147820.25120755486,118710.74401526248,265620.84317340533,146910.09915814287
097,132320.8635437205,118710.74401526248,265620.84317340533,146910.09915814287
098,153852.9526718548,118710.74401526248,265620.84317340533,146910.09915814287
099,153656.2861761538,118710.74401526248,265620.84317340533,146910.09915814287
100,136980.50771750516,118710.74401526248,265620.84317340533,146910.09915814287
101,130444.68397893576,118710.74401526248,265620.84317340533,146910.09915814287
102,136690.06153539228,118710.74401526248,265620.84317340533,146910.09915814287
103,150746.29565002094,118710.74401526248,265620.84317340533,146910.09915814287
104,136993.40319241575,118710.74401526248,265620.84317340533,146910.09915814287
105,122459.63758552328,118710.74401526248,265620.84317340533,146910.09915814287
106,131255.98724137363,118710.74401526248,265620.84317340533,146910.09915814287
107,139303.83087006633,118710.74401526248,265620.84317340533,146910.09915814287
108,142559.3543300943,118710.74401526248,265620.84317340533,146910.09915814287
109,149345.2728530216,118710.74401526248,265620.84317340533,146910.09915814287
110,140735.6905544407,118710.74401526248,265620.84317340533,146910.09915814287
111,151629.75841450287,118710.74401526248,265620.84317340533,146910.09915814287
112,147907.55056386985,118675.9102508648,265620.84317340533,146944.93292254052
113,133371.42481961095,118675.9102508648,265620.84317340533,146944.93292254052
114,132540.19788269408,118675.9102508648,265620.84317340533,146944.93292254052
115,144350.16497500247,118675.9102508648,265620.84317340533,146944.93292254052
116,152638.6419857137,118675.9102508648,265620.84317340533,146944.93292254052
117,136681.32285748137,118675.9102508648,265620.84317340533,146944.93292254052
118,125468.87473948022,118675.9102508648,265620.84317340533,146944.93292254052
119,160328.58827743528,118675.9102508648,265620.84317340533,146944.93292254052
120,137707.07952949376,118675.9102508648,265620.84317340533,146944.93292254052
121,130947.50009604215,118675.9102508648,265620.84317340533,146944.93292254052
122,135350.5176880724,118675.9102508648,265620.84317340533,146944.93292254052
123,144149.41690305033,118675.9102508648,265620.84317340533,146944.93292254052
124,159427.18839871523,118675.9102508648,265620.84317340533,146944.93292254052
125,138398.2788131315,118675.9102508648,265620.84317340533,146944.93292254052
126,140210.87182151296,118675.9102508648,265620.84317340533,146944.93292254052
127,153594.8173265472,118675.9102508648,265620.84317340533,146944.93292254052
128,153325.76015897768,118675.9102508648,265620.84317340533,146944.93292254052
129,139854.05083936485,118675.9102508648,265620.84317340533,146944.93292254052
130,142985.5565288413,118675.9102508648,265620.84317340533,146944.93292254052
131,141904.82090244704,118675.9102508648,265620.84317340533,146944.93292254052
132,157126.3180635196,118675.9102508648,265620.84317340533,146944.93292254052
133,142125.05928938914,118675.9102508648,265620.84317340533,146944.93292254052
134,142575.58508404883,118675.9102508648,265620.84317340533,146944.93292254052
135,147159.20833551447,118675.9102508648,265620.84317340533,146944.93292254052
136,159000.2634338133,118675.9102508648,265620.84317340533,146944.93292254052
137,149745.81925142827,114388.99233205055,265620.84317340533,151231.85084135478
138,138817.15976154196,114388.99233205055,265620.84317340533,151231.85084135478
139,124794.77063827876,114388.99233205055,265620.84317340533,151231.85084135478
140,137770.44668149858,114388.99233205055,265620.84317340533,151231.85084135478
141,139736.37423899304,114388.99233205055,265620.84317340533,151231.85084135478
142,154882.3328974625,114388.99233205055,265620.84317340533,151231.85084135478
143,153752.6478203236,114388.99233205055,265620.84317340533,151231.85084135478
144,152731.81088316804,114388.99233205055,265620.84317340533,151231.85084135478
145,134060.38806065932,114388.99233205055,265620.84317340533,151231.85084135478
146,160140.94874304565,114388.99233205055,265620.84317340533,151231.85084135478
147,174798.0585991745,114388.99233205055,265620.84317340533,151231.85084135478
148,145622.3694222159,114388.99233205055,265620.84317340533,151231.85084135478
149,138045.36473673055,114388.99233205055,265620.84317340533,151231.85084135478
150,131317.81260553107,114388.99233205055,265620.84317340533,151231.85084135478
